name,mass,radius,surface_gravity,GM,J2,periapsis,apoapsis,semimajor_axis_KM,semimajor_axis_AU,orbital_period,orbital_velocity,orbital_inclination,orbital_eccentricity,orbital_RAAN,orbital_AOP
Units, kg, km, m/s^2, kg^2/s^3, NA, km, km, km, AU, d, km/s, deg, NA, deg, deg
Sun,1.99E+30,695700,274,1.33E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercury,3.30E+23,2440.5,3.7,2.20E+04,5.03E-05,4.60E+07,6.98E+07,5.79E+07,0.38709893,88,47.4,7,0.206,48.33167,77.45645
Venus,4.87E+24,6051.8,8.87,3.25E+05,4.46E-06,1.08E+08,1.09E+08,1.08E+08,0.72333199,224.7,35,3.4,0.007,76.68069,131.53298
Earth,5.97E+24,6378.137,9.82,3.99E+05,1.08E-03,1.47E+08,1.52E+08,1.50E+08,1.00000011,365.2,29.8,0,0.017,-11.26064,102.94719
Moon,7.35E+22,1738.1,1.62,4.90E+03,2.03E-04,3.63E+05,4.06E+05,3.85E+05,0.00271390,27.3,1,5.1,0.055,0,0
Mars,6.42E+23,3396.2,3.73,4.28E+04,1.96E-03,2.07E+08,2.49E+08,2.28E+08,1.52366231,687,24.1,1.8,0.094,49.57854,336.04084
Jupiter,1.90E+27,71492,23.1,1.27E+08,1.47E-02,7.41E+08,8.16E+08,7.79E+08,5.20336301,4331,13.1,1.3,0.049,100.55615,14.75385
Saturn,5.68E+26,60268,9,3.79E+07,1.63E-02,1.36E+09,1.51E+09,1.43E+09,9.53707032,10747,9.7,2.5,0.052,113.71504,92.43194
Uranus,8.68E+25,25559,8.7,5.79E+06,3.34E-03,2.73E+09,3.00E+09,2.87E+09,19.19126393,30589,6.8,0.8,0.047,74.22988,170.96424
Neptune,1.02E+26,24764,11,6.84E+06,3.41E-03,4.47E+09,4.56E+09,4.52E+09,30.06896348,59800,5.4,1.8,0.01,131.72169,44.97135
Pluto,1.30E+22,1188,0.7,8.70E+02,NA,4.44E+09,7.38E+09,5.91E+09,39.48168677,90560,4.7,17.2,0.244,110.30347,224.06676
